,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
4378,,,Stormy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,31,10.725453068544148
4379,27.0,4.8,Windy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,26,14.152800689506924
4380,31.0,4.3,Sandstorms,Jam,1,Snack,scooter,0.0,No,Metropolitian,35,19.887012835829932
4381,32.0,5.0,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,43,10.602582382281538
4382,23.0,4.8,Sunny,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,23,20.850948424207758
4383,28.0,4.0,Cloudy,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,38,10.42810269889781
4384,38.0,4.4,Cloudy,High,1,Meal,motorcycle,1.0,No,Metropolitian,36,6.29013467758336
4385,30.0,4.6,Sandstorms,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,29,16.388699354704418
4386,39.0,4.8,Sandstorms,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,22,7.6312220203320935
4387,23.0,5.0,Stormy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,21,20.182728669259316
4388,22.0,4.8,Stormy,Low,1,Buffet,motorcycle,1.0,,Urban,14,1.5525876658669657
4389,37.0,4.6,Stormy,Medium,1,Buffet,motorcycle,1.0,No,Urban,26,13.970759660805674
4390,24.0,4.9,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,34,19.367701972034023
4391,,,,,1,Meal,motorcycle,0.0,No,Urban,21,16460.01288771731
4392,37.0,4.6,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,48,16.647924695147573
4393,24.0,4.8,Cloudy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,23,10.865882927568233
4394,32.0,4.7,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,22,4.395417948554396
4395,34.0,4.5,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,25,1.558073929108774
4396,27.0,4.7,Windy,Jam,2,Meal,motorcycle,1.0,No,,17,10.602417764169543
4397,28.0,4.9,Cloudy,Low,1,Drinks,motorcycle,0.0,No,,19,3.0406911405662607
4398,22.0,4.5,Fog,Jam,0,Meal,motorcycle,0.0,No,Urban,20,4.587980157607705
4399,23.0,4.5,Sunny,Jam,2,Snack,scooter,1.0,No,Urban,16,17.076712975282852
4400,37.0,4.9,Sandstorms,Low,1,Buffet,scooter,0.0,No,Urban,20,11.007734763545226
4401,36.0,4.6,Stormy,Low,2,Snack,scooter,1.0,No,Urban,20,1.5725337265584898
4402,35.0,4.4,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,31,4.596877706249969
4403,24.0,4.6,Windy,Low,1,Snack,scooter,0.0,No,Metropolitian,19,1.5524148918517984
4404,30.0,4.5,Fog,Medium,2,Drinks,scooter,0.0,No,Urban,19,6.049834150348467
4405,35.0,4.5,Sunny,Jam,2,Buffet,scooter,0.0,No,Metropolitian,23,10.867258681335587
4406,25.0,4.9,Cloudy,Low,1,Meal,motorcycle,0.0,No,Metropolitian,20,10.683845828698045
4407,28.0,4.9,Fog,Low,1,Meal,scooter,1.0,,Metropolitian,14,9.12135038947788
4408,35.0,4.9,Cloudy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,28,4.596439722787293
4409,27.0,4.9,Cloudy,Low,1,Meal,motorcycle,1.0,No,,13,9.075521306348927
4410,20.0,4.6,Sandstorms,Jam,1,Snack,scooter,1.0,No,Metropolitian,16,19.08631670945455
4411,32.0,4.3,Stormy,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,32,10.906324614875805
4412,37.0,4.7,Sunny,Medium,1,Buffet,motorcycle,0.0,No,Metropolitian,16,7.763196932772446
4413,21.0,4.9,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,28,9.121036990509888
4414,35.0,4.8,Fog,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,48,12.435538174605655
4415,31.0,5.0,Sunny,High,2,Meal,scooter,1.0,No,Metropolitian,20,6.29013467758336
4416,28.0,4.6,Sunny,Jam,2,Meal,scooter,1.0,No,Metropolitian,15,10.880887117534522
4417,36.0,4.1,Fog,Jam,1,Snack,scooter,0.0,No,Metropolitian,37,16.60097570057656
4418,24.0,4.7,Fog,Medium,1,Snack,scooter,1.0,No,Metropolitian,34,10.594842178820654
4419,21.0,5.0,Fog,Low,2,Drinks,scooter,1.0,No,Metropolitian,25,12.58026782216666
4420,38.0,4.8,Stormy,Low,1,Buffet,scooter,1.0,No,Metropolitian,22,19.62844486200502
4421,37.0,4.6,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,26,1.530032020866172
4422,36.0,4.5,Fog,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,16,7.660692882317049
4423,39.0,4.8,Windy,Low,0,Buffet,motorcycle,1.0,No,Urban,20,11.007734763545226
4424,32.0,4.7,Cloudy,Low,1,Buffet,scooter,1.0,No,Urban,18,1.5125177548578486
4425,27.0,4.1,Fog,Jam,2,Drinks,scooter,0.0,No,Urban,40,19.086807413294206
4426,20.0,4.8,Windy,Medium,2,Drinks,electric_scooter,0.0,No,,15,11.919755989130772
4427,21.0,4.8,Sunny,Medium,1,Drinks,scooter,0.0,No,Metropolitian,15,13.972036025840136
4428,31.0,4.8,Stormy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,26,12.58026782216666
4429,24.0,4.1,Fog,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,34,12.293541924695205
4430,36.0,4.8,Sandstorms,Low,2,Drinks,scooter,1.0,No,,21,10.905989056071514
4431,38.0,4.5,Sandstorms,Jam,1,Meal,scooter,1.0,No,Urban,26,9.074647672522762
4432,20.0,4.7,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Urban,30,20.207299688873803
4433,22.0,4.9,Sandstorms,Jam,2,Buffet,scooter,1.0,No,Metropolitian,21,16.824331819033862
4434,20.0,4.8,Windy,Jam,2,Meal,scooter,1.0,No,Metropolitian,21,13.583440059689538
4435,37.0,4.9,Sunny,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,13,7.631507423962437
4436,24.0,4.5,Sandstorms,Medium,0,Snack,motorcycle,0.0,,Urban,10,6.058848944481087
4437,25.0,4.6,Stormy,Medium,2,Meal,scooter,0.0,No,Urban,18,10.564540523636872
4438,27.0,4.8,Cloudy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,18,1.5525607674149753
4439,50.0,6.0,,,3,Meal,electric_scooter,0.0,No,Metropolitian,16,9.348431884502418
4440,20.0,4.0,Windy,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,33,7.790401360162579
4441,34.0,4.5,Stormy,Medium,2,Drinks,scooter,1.0,No,Urban,36,13.989512053615803
4442,33.0,4.8,Fog,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,30,19.87838985945976
4443,26.0,4.8,Fog,Low,2,Drinks,scooter,0.0,No,Urban,27,19.61919671068651
4444,34.0,4.9,Stormy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,25,13.682504886973568
4445,30.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,27,4.657654936664735
4446,28.0,4.9,Fog,Low,2,Buffet,scooter,1.0,No,Urban,14,1.5725337265584898
4447,32.0,4.8,Fog,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,42,19.762388480865113
4448,23.0,4.6,Stormy,Jam,2,Meal,scooter,0.0,No,Metropolitian,29,13.787803344558727
4449,24.0,4.7,Cloudy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,28,8.938197833249367
4450,39.0,4.8,Sandstorms,Medium,2,Buffet,scooter,1.0,No,Urban,30,4.658255523836756
4451,36.0,4.7,Sandstorms,High,1,Meal,scooter,1.0,No,Urban,26,3.1450674354101187
4452,31.0,4.0,Cloudy,Jam,1,Snack,motorcycle,1.0,Yes,Metropolitian,43,12.293745665015539
4453,25.0,4.6,Cloudy,Low,1,Meal,scooter,1.0,No,Urban,24,12.435401341961901
4454,,,Cloudy,High,0,Buffet,motorcycle,1.0,No,Urban,21,6.037557938280219
4455,22.0,4.6,Windy,Jam,1,Drinks,motorcycle,0.0,No,Urban,24,10.586888296620865
4456,36.0,4.9,Stormy,Low,1,Drinks,scooter,0.0,No,Urban,26,1.5368199474946824
4457,35.0,4.3,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,33,5.968965756918954
4458,26.0,4.8,Sandstorms,High,2,Meal,motorcycle,0.0,No,Metropolitian,14,6.209485128834958
4459,23.0,5.0,Windy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,24,7.652510173194676
4460,25.0,4.9,Windy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,29,17.07353769059465
4461,23.0,4.6,Cloudy,Low,1,Meal,scooter,1.0,No,Urban,14,1.5725337265584898
4462,,,Fog,High,1,Buffet,scooter,1.0,No,Metropolitian,31,2.9797634982085457
4463,27.0,4.4,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,36,17.297865752893937
4464,28.0,4.7,Sandstorms,Medium,2,Snack,electric_scooter,1.0,No,Metropolitian,24,7.658776112036346
4465,38.0,5.0,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,25,1.5136443675476847
4466,39.0,4.5,Stormy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,22,1.5125976085836192
4467,50.0,6.0,,,3,Drinks,scooter,1.0,No,Urban,17,10.86826281991422
4468,29.0,3.8,Sunny,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,46,4.610621612253868
4469,30.0,4.9,Sunny,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,27,14.022182614341206
4470,31.0,4.3,Fog,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,37,16.65996319003844
4471,34.0,4.5,Windy,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,20,3.073462804638445
4472,31.0,4.9,Stormy,High,1,Snack,motorcycle,1.0,No,Urban,25,6.232139486618366
4473,25.0,4.8,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,18,1.5203447251019993
4474,32.0,4.6,Fog,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,38,13.77113289489443
4475,38.0,4.8,Sunny,Low,1,Meal,motorcycle,,No,Metropolitian,11,3.1048274863789924
4476,23.0,4.6,Fog,Medium,2,Snack,motorcycle,0.0,No,Metropolitian,37,10.75638385320914
4477,25.0,4.8,Fog,Jam,2,Drinks,motorcycle,0.0,No,Metropolitian,30,7.5622720556199745
4478,,,Fog,Jam,2,Meal,scooter,1.0,No,Urban,27,4.469352052358484
4479,30.0,4.4,Fog,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,35,16.72060564151053
4480,37.0,4.8,Stormy,Medium,1,Buffet,scooter,0.0,No,Metropolitian,26,5.958965689618683
4481,25.0,4.9,Fog,High,0,Buffet,motorcycle,1.0,No,Urban,28,5.9587598691023596
4482,37.0,4.7,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,41,16.72141633131098
4483,24.0,4.6,Sandstorms,Jam,2,Drinks,scooter,0.0,No,Metropolitian,22,10.587929946635425
4484,39.0,4.7,Fog,Jam,2,Meal,electric_scooter,2.0,No,Metropolitian,39,13.215391250367563
4485,,,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,33,13.785027203413126
4486,35.0,4.9,Fog,Low,1,Meal,scooter,1.0,No,Metropolitian,19,1.5523313500323028
4487,26.0,4.5,Stormy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,20,4.406348379933251
4488,,,Sunny,Low,0,Buffet,motorcycle,0.0,No,Urban,11,1.5263879663362665
4489,35.0,4.7,Fog,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,47,11.917680464440235
4490,22.0,4.7,Sunny,Low,1,Snack,motorcycle,1.0,No,Metropolitian,23,7.600990561430603
4491,36.0,4.7,Fog,Low,0,Snack,motorcycle,0.0,No,Metropolitian,25,1.5581193602469814
4492,23.0,4.7,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,,24,12.234750048703493
4493,,,Stormy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,26,4.663439017256739
4494,30.0,4.7,Windy,Medium,1,Meal,scooter,1.0,No,Metropolitian,30,10.708220667174238
4495,34.0,4.7,Stormy,Low,1,Meal,scooter,1.0,No,,27,4.656990844412887
4496,30.0,5.0,Fog,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,19,3.0644047281382125
4497,27.0,5.0,Windy,Jam,2,Buffet,electric_scooter,1.0,No,Urban,26,12.257490517510409
4498,38.0,4.7,Fog,Low,1,Snack,motorcycle,1.0,No,Urban,16,4.589834614028561
4499,25.0,4.8,Cloudy,Medium,1,Buffet,scooter,1.0,No,Metropolitian,28,16.82215560929809
4500,27.0,4.8,Windy,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,11,9.181151800929156
4501,28.0,4.6,Fog,Low,2,Drinks,scooter,0.0,No,Metropolitian,21,13.622089917106175
4502,35.0,4.9,Fog,Medium,2,Snack,electric_scooter,1.0,No,Metropolitian,19,6.050486021591556
4503,20.0,4.7,Windy,High,1,Buffet,motorcycle,0.0,No,Metropolitian,28,1.4898458815340307
4504,26.0,4.6,Stormy,Low,2,Buffet,motorcycle,0.0,No,Urban,11,3.040539883821868
4505,23.0,5.0,Cloudy,High,0,Buffet,motorcycle,0.0,No,Metropolitian,29,2.996193699709419
4506,32.0,4.6,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,23,9.31574510599364
4507,28.0,4.6,Windy,Low,1,Snack,motorcycle,0.0,,Metropolitian,10,1.5368334398528536
4508,21.0,4.5,Sunny,Low,1,Buffet,scooter,0.0,No,Metropolitian,28,13.972751063562482
4509,25.0,5.0,Cloudy,Jam,0,Buffet,motorcycle,3.0,No,Metropolitian,45,12.58026782216666
4510,36.0,4.5,Windy,Medium,1,Meal,scooter,1.0,No,Metropolitian,29,13.77113289489443
4511,32.0,4.6,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,36,9.08186227691436
4512,20.0,4.4,Fog,Jam,2,Snack,scooter,1.0,No,Metropolitian,32,4.65798777420061
4513,27.0,4.6,Windy,Medium,2,Buffet,motorcycle,0.0,No,Metropolitian,25,4.717601091654031
4514,35.0,5.0,Windy,High,1,Buffet,scooter,1.0,No,Metropolitian,28,6.1283639395976595
4515,29.0,5.0,Sunny,Low,1,Snack,scooter,0.0,No,,15,7.862668167467362
4516,36.0,4.6,Stormy,Low,1,Snack,scooter,1.0,No,Urban,21,1.5322291864616324
4517,34.0,4.8,Sandstorms,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,25,10.428262033869533
4518,34.0,5.0,Stormy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,25,7.761839422210533
4519,24.0,5.0,Sandstorms,Low,1,Meal,motorcycle,0.0,No,Urban,10,14.022182614341206
4520,35.0,4.8,Fog,Low,2,Snack,electric_scooter,0.0,No,Metropolitian,18,1.5524171271974159
4521,36.0,4.6,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,26,7.65106445858606
4522,33.0,4.9,Fog,Low,2,Drinks,electric_scooter,,No,Metropolitian,18,4.464766878397435
4523,25.0,4.8,Cloudy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,31,9.348112475064742
4524,26.0,4.5,Cloudy,Jam,0,Buffet,motorcycle,1.0,Yes,Urban,45,17.297865752893937
4525,31.0,4.6,Fog,Jam,2,Meal,motorcycle,0.0,No,Metropolitian,32,4.469606138994845
4526,26.0,4.5,Sandstorms,Jam,1,Buffet,scooter,1.0,No,Metropolitian,26,10.757554772962694
4527,30.0,4.7,Sunny,Medium,1,Drinks,scooter,0.0,No,Metropolitian,22,6.232392020741162
4528,29.0,4.4,Stormy,Jam,0,Snack,motorcycle,1.0,No,,36,10.683732403707413
4529,21.0,4.8,Sunny,Jam,1,Drinks,scooter,1.0,No,,13,7.763504337525132
4530,37.0,4.1,Fog,Jam,2,Meal,scooter,1.0,No,Metropolitian,34,4.5612679979759
4531,32.0,4.8,Windy,Low,0,Buffet,motorcycle,1.0,No,Urban,28,16.38847819601897
4532,35.0,4.3,Cloudy,Low,1,Drinks,scooter,0.0,No,Metropolitian,38,13.682044526137476
4533,27.0,4.8,Cloudy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,17,1.5094466560222088
4534,38.0,4.9,Fog,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,45,16.90260949286334
4535,24.0,4.6,Sandstorms,Medium,2,Drinks,motorcycle,0.0,No,Metropolitian,22,10.806365520694287
4536,27.0,4.9,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Urban,38,13.830756172664909
4537,23.0,4.8,Fog,Medium,0,Buffet,motorcycle,1.0,No,Urban,29,9.314965469003848
4538,32.0,4.7,Cloudy,Low,1,Meal,scooter,0.0,No,Metropolitian,28,20.179033045444367
4539,25.0,4.8,Windy,Jam,2,Drinks,scooter,0.0,No,Metropolitian,26,4.717601091654031
4540,33.0,4.6,Stormy,High,1,Buffet,motorcycle,1.0,No,Urban,30,1.5126653174804872
4541,34.0,4.6,Stormy,Medium,2,Buffet,scooter,1.0,No,Metropolitian,30,5.952943315660828
4542,21.0,4.8,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,24,19.97591692313727
4543,24.0,4.8,Stormy,Low,2,Snack,scooter,,No,Metropolitian,18,17.077471212855382
4544,22.0,4.6,Stormy,Jam,2,Drinks,electric_scooter,1.0,No,Urban,15,16.38573010428938
4545,32.0,4.8,Sunny,Low,0,Meal,motorcycle,1.0,No,Urban,23,1.5369061313683696
4546,31.0,4.7,Stormy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,26,4.5282250089290015
4547,27.0,4.8,Cloudy,Medium,2,Buffet,scooter,1.0,No,Metropolitian,31,13.97314205020679
4548,23.0,4.9,Sunny,Low,1,Buffet,motorcycle,0.0,No,,22,4.663411524538562
4549,25.0,4.6,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,18,9.220209377935152
4550,36.0,5.0,Sunny,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,19,7.802453018324818
4551,32.0,4.6,Sandstorms,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,25,13.78906644054204
4552,33.0,4.1,Windy,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,45,10.563519849283493
4553,27.0,4.6,Windy,Jam,2,Buffet,electric_scooter,0.0,No,Urban,11,9.074848935994297
4554,25.0,4.9,Windy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,27,7.546676276279247
4555,25.0,4.9,Cloudy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,45,20.206226468831648
4556,36.0,4.7,Stormy,High,2,Drinks,electric_scooter,1.0,No,Metropolitian,25,3.0188687427655365
4557,37.0,4.3,Windy,High,1,Buffet,scooter,1.0,No,Metropolitian,33,3.1450674354101187
4558,29.0,4.6,Sunny,Jam,2,Drinks,scooter,1.0,No,Metropolitian,23,16.72060564151053
4559,20.0,4.5,Windy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,20,3.064009456277825
4560,26.0,4.7,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,18,13.62208523454639
4561,25.0,4.9,Windy,Low,2,Snack,scooter,1.0,No,Metropolitian,14,19.883251553023193
4562,,,,,3,Drinks,scooter,1.0,No,Metropolitian,26,20.182634488296788
4563,39.0,4.8,Stormy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,48,4.596698554166812
4564,38.0,4.6,Windy,Low,0,Meal,motorcycle,1.0,No,Urban,28,16.9030508931849
4565,21.0,4.9,Fog,Low,0,Meal,motorcycle,0.0,No,Metropolitian,18,1.5100882528634147
4566,39.0,4.6,Fog,Low,1,Drinks,scooter,1.0,No,Metropolitian,18,7.772282029685755
4567,25.0,4.6,Fog,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,46,16.720764045351686
4568,39.0,4.8,Sunny,Medium,1,Buffet,motorcycle,0.0,No,Metropolitian,21,16.634890709244328
4569,21.0,4.8,Sunny,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,19,17.137879924166842
4570,35.0,4.6,Sunny,High,1,Snack,scooter,1.0,No,Urban,20,5.958771662463015
4571,20.0,4.9,Fog,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,20,1.5524148918517984
4572,36.0,4.7,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,30,11.937006780913054
4573,20.0,4.5,Sandstorms,Low,2,Buffet,scooter,0.0,No,,18,20.181034547353573
4574,33.0,4.8,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,35,19.042585515698093
4575,23.0,4.7,Sunny,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,21,12.09912231416406
4576,32.0,4.2,Sandstorms,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,34,16.824331819033862
4577,23.0,4.8,Fog,Medium,2,Meal,scooter,0.0,No,Urban,10,7.790426272020499
4578,35.0,4.8,Sandstorms,High,1,Snack,motorcycle,1.0,No,Metropolitian,26,3.0595542483625007
4579,24.0,5.0,Windy,Jam,1,Meal,scooter,1.0,No,Metropolitian,23,9.193093962383628
4580,,,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,33,7.660692882317049
4581,29.0,4.8,Cloudy,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,43,12.161009702832278
4582,27.0,5.0,Stormy,Medium,2,Snack,scooter,1.0,No,Metropolitian,16,12.23672361637089
4583,21.0,4.8,Windy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,17,11.916606438665637
4584,33.0,4.5,Sunny,High,2,Drinks,electric_scooter,0.0,No,Urban,15,6.037448589994735
4585,38.0,4.9,Stormy,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,22,19.76027880154743
4586,,,Sunny,Low,2,Meal,scooter,1.0,No,Metropolitian,22,3.0646768629374077
4587,31.0,4.9,Sunny,Low,2,Buffet,scooter,0.0,No,Metropolitian,14,1.536802063728724
4588,35.0,4.5,Sandstorms,Low,2,Snack,scooter,0.0,No,Urban,26,3.06442709379338
4589,33.0,4.6,Windy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,29,10.724430107083917
4590,21.0,4.4,Sandstorms,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,20,1.5525879791024142
4591,32.0,4.8,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,29,1.5297518759268995
4592,26.0,5.0,Stormy,Low,2,Snack,scooter,0.0,No,Metropolitian,15,1.536850377186336
4593,30.0,4.3,Windy,Jam,0,Snack,motorcycle,1.0,No,,42,20.853653606417506
4594,36.0,4.7,Sunny,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,20,8.790360137950453
4595,24.0,4.8,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Urban,22,5.958820916573499
4596,36.0,4.9,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,26,3.105144914005584
4597,32.0,4.7,Windy,Low,2,Snack,scooter,0.0,No,Urban,16,16.648004331643424
4598,26.0,4.3,Windy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,34,14.021819246645988
4599,30.0,4.7,Sandstorms,Medium,2,Meal,scooter,1.0,No,Metropolitian,32,9.087965500946755
4600,30.0,4.4,Fog,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,33,7.761199672816212
4601,32.0,4.5,Fog,Low,1,Drinks,scooter,1.0,No,Metropolitian,32,13.970572124497565
4602,20.0,4.9,Cloudy,Medium,2,Snack,scooter,1.0,,Urban,11,6.210946741760357
4603,22.0,5.0,Cloudy,High,0,Meal,motorcycle,1.0,No,Metropolitian,23,6.050406061320017
4604,,,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,29,3.073202407030704
4605,29.0,4.1,Sunny,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,31,10.72556607642895
4606,27.0,4.5,Sunny,Medium,2,Snack,scooter,0.0,No,Metropolitian,15,6.232241741082851
4607,23.0,4.6,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,35,10.881197531049606
4608,29.0,4.6,Cloudy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,23,6.050084991947014
4609,34.0,4.9,Sunny,Medium,2,Buffet,scooter,0.0,No,Metropolitian,24,5.959293109772623
4610,39.0,4.7,Fog,Low,1,Drinks,scooter,0.0,No,Urban,18,9.220397882664482
4611,20.0,4.9,Cloudy,High,1,Meal,motorcycle,1.0,No,Metropolitian,25,1.536913986942279
4612,39.0,4.8,Cloudy,High,0,Snack,motorcycle,1.0,No,Metropolitian,34,1.536913986942279
4613,25.0,5.0,Fog,Jam,0,Buffet,motorcycle,1.0,No,Urban,26,7.862668167467362
4614,28.0,4.5,Fog,High,0,Buffet,motorcycle,1.0,No,Metropolitian,24,2.937568590716947
4615,31.0,4.7,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,31,7.790125828510814
4616,24.0,4.9,Cloudy,Low,1,Drinks,motorcycle,0.0,No,Urban,10,9.087720327776985
4617,39.0,4.8,Stormy,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,29,9.435201537103644
4618,39.0,4.6,Cloudy,Medium,2,Snack,motorcycle,1.0,No,Urban,15,4.610254758556906
4619,28.0,4.5,Windy,Low,2,Buffet,electric_scooter,0.0,No,Urban,13,1.4901739539089844
4620,29.0,4.6,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,27,20.180908601252117
4621,24.0,4.6,Fog,Low,2,Meal,electric_scooter,1.0,No,Urban,10,4.4648087500311995
4622,22.0,4.9,Fog,Medium,2,Meal,scooter,1.0,No,Metropolitian,26,12.463937408856191
4623,32.0,4.7,Cloudy,Low,0,Snack,motorcycle,1.0,No,Urban,22,1.5322647868634527
4624,22.0,4.8,Stormy,Low,2,Buffet,motorcycle,,No,Metropolitian,14,1.5321262819005874
4625,38.0,4.9,Stormy,Jam,0,Drinks,motorcycle,1.0,No,Urban,39,11.93621530526937
4626,24.0,4.7,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,,15,16.600060265872717
4627,22.0,5.0,Windy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,19,10.588906536496683
4628,24.0,4.1,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,21,3.040649954201759
4629,36.0,4.7,Sandstorms,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,30,4.674184358001537
4630,21.0,4.5,Sunny,High,0,Drinks,motorcycle,1.0,Yes,Metropolitian,41,3.116128491356795
4631,36.0,4.8,Stormy,Low,2,Buffet,motorcycle,1.0,No,Urban,19,10.56459693396813
4632,28.0,4.9,Fog,Medium,2,Buffet,electric_scooter,2.0,No,Metropolitian,37,16.722118375754214
4633,35.0,4.0,Windy,Medium,0,Drinks,motorcycle,,No,Metropolitian,31,12.293569688065993
4634,39.0,5.0,Windy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,34,9.316091864195348
4635,33.0,3.9,Cloudy,Low,1,Meal,scooter,1.0,No,Metropolitian,37,17.297865752893937
4636,25.0,2.6,Sunny,Low,2,Buffet,scooter,1.0,No,Metropolitian,34,20.25296785008508
4637,27.0,4.6,Sandstorms,Medium,0,Snack,motorcycle,0.0,No,Urban,14,7.6010279314592974
4638,24.0,4.7,Sandstorms,Jam,2,Meal,scooter,0.0,No,Urban,11,9.348112475064742
